Section Number,Section Name,Every Project,Other section that always accompanies this one (1),Other section that always accompanies this one (2),Other section that always accompanies this one (3),"Is the project a new building,  addition/renovation or renovation?
New Building","Is the project a new building, addition/renovation or renovation?
Addition/Renovation","Is the project a new building, addition/renovation or renovation?
Renovation","Does the project require demolition?
Yes","Is the project multiple stories?
Yes (New Building, Addition, Addition/Renovation)","Is the project multiple stories?
Yes (Renovation)","What are the opaque exterior materials? (Select as many as applicable)
Masonry","What are the opaque exterior materials? (Select as many as applicable)
Stone","What are the opaque exterior materials? (Select as many as applicable)
Metal Panel","What are the opaque exterior materials? (Select as many as applicable)
Fiber Cement Panel","What are the opaque exterior materials? (Select as many as applicable)
Terra Cotta","What are the opaque exterior materials? (Select as many as applicable)
Phenolic Panel","What are the opaque exterior materials? (Select as many as applicable)
EIFS","What are the opaque exterior materials? (Select as many as applicable)
Precast Concrete","What are the opaque exterior materials? (Select as many as applicable)
Cast Stone","What are the opaque exterior materials? (Select as many as applicable)
Architectural Concrete","Do you have CMU backup for the opaque exterior walls?
Yes","What are the anticipated floor finishes? (Select as many as applicable)
Carpet","What are the anticipated floor finishes? (Select as many as applicable)
Resilient Flooring","What are the anticipated floor finishes? (Select as many as applicable)
Tile","What are the anticipated floor finishes? (Select as many as applicable)
Wood","What are the anticipated floor finishes? (Select as many as applicable)
Terrazzo","Are there any special ceiling materials? (Select as many as applicable)
Acoustical Gypsum Board","Are there any special ceiling materials? (Select as many as applicable)
Acoustical Baffles","Are there any special ceiling materials? (Select as many as applicable)
Wood","Are there any special ceiling materials? (Select as many as applicable)
Metal",,,
00 00 01,Cover Page,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 01 01,Title Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 01 07,Professional Seals Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 01 10,Table of Contents,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 01 15,List of Drawing Sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 91 13,Addenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 00 00,General Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 10 00,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 13 00,Delegated Design Requirements,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 21 00,Allowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 22 00,Unit Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 23 00,Alternates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 25 00,Substitution Procedures,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 26 00,Contract Modification Procedures,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 29 00,Payment Procedures,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 31 00,Project Management and Coordination,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 31 06,Coordination Drawings,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
