q_num,answer,sec_num,sec_name
0,Every_Project,00 00 01,Cover Page
0,Every_Project,00 01 10,Table of Contents
0,Every_Project,01 13 00,Delegated Design Requirements
0,Every_Project,01 25 00,Substitution Procedures
0,Every_Project,01 26 00,Contract Modification Procedures
0,Every_Project,01 29 00,Payment Procedures
0,Every_Project,01 31 00,Project Management and Coordination
0,Every_Project,01 32 00,Construction Progress Documentation
0,Every_Project,01 33 00,Submittal Procedures
0,Every_Project,01 40 00,Quality Requirements
0,Every_Project,01 50 00,Temporary Facilities and Controls
0,Every_Project,01 60 00,Product Requirements
0,Every_Project,01 73 00,Execution
0,Every_Project,01 74 19,Construction Waste Management and Disposal
0,Every_Project,01 77 00,Closeout Procedures
0,Every_Project,01 78 23,Operation and Maintenance Data
0,Every_Project,01 78 39,Project Record Documents
0,Every_Project,01 79 00,Demonstration and Training
0,Every_Project,06 10 53,Miscellaneous Rough Carpentry
0,Every_Project,07 84 13,Penetration Firestopping
0,Every_Project,07 84 43,Joint Firestopping
0,Every_Project,07 92 00,Joint Sealants
0,Every_Project,08 11 13,Hollow Metal Doors and Frames
0,Every_Project,08 71 00,Door Hardware
0,Every_Project,08 80 00,Glazing
0,Every_Project,09 22 16,Non-Structural Metal Framing
0,Every_Project,09 29 00,Gypsum Board
0,Every_Project,09 51 13,Acoustical Panel Ceilings
0,Every_Project,09 91 00,Painting
1,NewBuilding,01 31 06,Coordination Drawings
1,NewBuilding,01 45 33,Code Required Special Inspections and Procedures
1,NewBuilding,05 50 00,Metal Fabrications
1,NewBuilding,06 16 00,Sheathing     
1,NewBuilding,06 40 23,Interior Architectural Woodwork
1,NewBuilding,06 41 13,Wood-Veneer-Faced Architectural Cabinets
1,NewBuilding,06 41 16,Plastic-Laminate-Faced Architectural Cabinets
1,NewBuilding,07 13 26,Self-Adhering Sheet Waterproofing
1,NewBuilding,07 13 53,Elastomeric Sheet Waterproofing    
1,NewBuilding,07 13 54,Thermoplastic Sheet Waterproofing    
1,NewBuilding,07 14 13,Hot Fluid-Applied Rubberized Asphalt Waterproofing
1,NewBuilding,07 14 16,Cold Fluid-Applied Waterproofing
1,NewBuilding,07 16 13,Polymer Modified Cement Waterproofing
1,NewBuilding,07 21 00,Thermal Insulation
1,NewBuilding,07 27 15,Nonbituminous Self-Adhering Sheet Air Barriers  
1,NewBuilding,07 27 26,Fluid-Applied Membrane Air Barriers
1,NewBuilding,07 54 23,Thermoplastic Polyolefin (TPO) Roofing
1,NewBuilding,07 62 00,Sheet Metal Flashing and Trim
1,NewBuilding,07 62 10,Flexible Flashings
1,NewBuilding,07 71 00,Roof Specialties
1,NewBuilding,07 81 00,Applied Fire Protection
1,NewBuilding,08 41 13,Aluminum-Framed Entrances and Storefront
1,NewBuilding,08 41 26,All-Glass Entrances and Storefront
1,NewBuilding,08 43 13,Aluminum-Framed Storefronts
1,NewBuilding,08 44 13,Glazed Aluminum Curtainwall
1,NewBuilding,08 91 19,Fixed Louvers
1,NewBuilding,09 30 13,Tiling
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
