Section Number,Section Name,Every Project,Other section that always accompanies this one (1),Other section that always accompanies this one (2),Other section that always accompanies this one (3),"Is the project a new building,  addition/renovation or renovation?
New Building","Is the project a new building, addition/renovation or renovation?
Addition/Renovation","Is the project a new building, addition/renovation or renovation?
Renovation",What is the building type?,"Does the project require demolition?
Yes","Is the project multiple stories?
Yes (New Building, Addition, Addition/Renovation)","Is the project multiple stories?
Yes (Renovation)","What are the opaque exterior materials? (Select as many as applicable)
Masonry","What are the opaque exterior materials? (Select as many as applicable)
Stone","What are the opaque exterior materials? (Select as many as applicable)
Metal Panel","What are the opaque exterior materials? (Select as many as applicable)
Fiber Cement Panel","What are the opaque exterior materials? (Select as many as applicable)
Terra Cotta","What are the opaque exterior materials? (Select as many as applicable)
Phenolic Panel","What are the opaque exterior materials? (Select as many as applicable)
EIFS","What are the opaque exterior materials? (Select as many as applicable)
Precast Concrete","What are the opaque exterior materials? (Select as many as applicable)
Cast Stone","What are the opaque exterior materials? (Select as many as applicable)
Architectural Concrete","What is the backup for the opaque exterior walls?
Cold Formed Metal Framing","What is the backup for the opaque exterior walls?
CMU","What are the anticipated floor finishes? (Select as many as applicable)
Carpet","What are the anticipated floor finishes? (Select as many as applicable)
Resilient Flooring","What are the anticipated floor finishes? (Select as many as applicable)
Tile","What are the anticipated floor finishes? (Select as many as applicable)
Wood","Are there any special ceiling materials? (Select as many as applicable)
Acoustical Gypsum Board","Are there any special ceiling materials? (Select as many as applicable)
Acoustical Baffles","Are there any special ceiling materials? (Select as many as applicable)
Linear Wood","Are there any special ceiling materials? (Select as many as applicable)
Metal"
00 00 01,Cover Page,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00 01 01,Title Page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00 01 07,Professional Seals Page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00 01 10,Table of Contents,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00 01 15,List of Drawing Sheets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00 91 13,Addenda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 00 00,General Requirements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 10 00,Summary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 13 00,Delegated Design Requirements,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 21 00,Allowances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 22 00,Unit Prices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 23 00,Alternates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
